"","Period","Species","Area","Centroid_X","Centroid_Y","Elevation","Contraction","Distance","Overlap","Shift_Accelerate","Double_Back","Double_Back_Relative","PoleShift","Elevation_Group","PoleShift_km","Extinction","Extinction_Overlap"
"41","Present","Saxifraga erioblasta",15164.96,-3.31959523809524,36.126119047619,1270.34,0,0,1,"1",0,0,0,"0",0,0,0
"42","Present","Saxifraga eschscholtzii",2750594.31,17.0619087083055,56.0977975602833,1002.91,0,0,1,"1",0,0,0,"0",0,0,0
"43","Present","Saxifraga exarata",60236.13,11.5589024236304,45.2275046284608,1931.79,0,0,1,"1",0,0,0,"0",0,0,0
"44","Present","Saxifraga federici-augusti",65601.43,20.5443263497509,40.3970993629012,1208.67,0,0,1,"1",0,0,0,"0",0,0,0
"45","Present","Saxifraga felineri",16303.64,-1.28477579556413,42.7236218257795,1718.03,0,0,1,"1",0,0,0,"0",0,0,0
"46","Present","Saxifraga filicaulis",460626.33,92.847724557402,28.3729940534376,4027.64,0,0,1,"1",0,0,0,"1",0,0,0
"47","Present","Saxifraga finitima",137010.77,98.122091642925,30.1957869805092,4454.78,0,0,1,"1",0,0,0,"1",0,0,0
"48","Present","Saxifraga flagellaris",17698.69,43.6210845153664,42.8594858156028,2800.95,0,0,1,"1",0,0,0,"1",0,0,0
"49","Present","Saxifraga fortunei",86477.04,130.273179177837,34.1964193648175,376.82,0,0,1,"1",0,0,0,"0",0,0,0
"50","Present","Saxifraga fragosoi",111473.09,-0.0397078259227793,42.5948739733786,1022.78,0,0,1,"1",0,0,0,"0",0,0,0
"51","Present","Saxifraga gemmipara",175653.8,102.023227653016,25.1769961837663,2095.76,0,0,1,"1",0,0,0,"0",0,0,0
"52","Present","Saxifraga gemmulosa",38106.09,-6.2069356896293,37.4737261743959,488.14,0,0,1,"1",0,0,0,"0",0,0,0
"53","Present","Saxifraga genesiana",44773.27,1.38653593088454,43.972758610825,575.92,0,0,1,"1",0,0,0,"0",0,0,0
"54","Present","Saxifraga geranioides",131975.25,3.32514098067533,49.2591508493226,718.92,0,0,1,"1",0,0,0,"0",0,0,0
"55","Present","Saxifraga glacialis",568788.39,99.2865755414686,32.3484059693608,4190.13,0,0,1,"1",0,0,0,"1",0,0,0
"56","Present","Saxifraga globulifera",63154.93,-5.99071367056477,36.3099730305503,754.2,0,0,1,"1",0,0,0,"0",0,0,0
"57","Present","Saxifraga granulata",1032034.36,10.3374749457687,53.7930570707904,199.47,0,0,1,"1",0,0,0,"0",0,0,0
"58","Present","Saxifraga haenseleri",28815.6,-3.34093283582089,36.547723880597,1121.51,0,0,1,"1",0,0,0,"0",0,0,0
"59","Present","Saxifraga hariotii",36726.16,4.55966143682907,44.9855147261217,1975.34,0,0,1,"1",0,0,0,"0",0,0,0
"60","Present","Saxifraga hederacea",33340.7,25.802820082602,36.1414666150404,354.84,0,0,1,"1",0,0,0,"0",0,0,0
"61","Present","Saxifraga hirculus",3825252.99,12.9088347398072,53.8167928905742,1871.33,0,0,1,"1",0,0,0,"0",0,0,0
"62","Present","Saxifraga hirsuta",118628.32,-1.46065647482014,48.1801451695786,708.53,0,0,1,"1",0,0,0,"0",0,0,0
"63","Present","Saxifraga hispidula",298528.48,91.9543484428193,27.7570031101584,3679.92,0,0,1,"1",0,0,0,"1",0,0,0
"64","Present","Saxifraga hostii",91385.02,14.5455178173719,47.392413034256,1420.7,0,0,1,"1",0,0,0,"0",0,0,0
"65","Present","Saxifraga hyperborea",2802999.97,-15.7055437043067,62.8528574159565,1113.18,0,0,1,"1",0,0,0,"0",0,0,0
"66","Present","Saxifraga hypnoides",139368.47,-9.81606348787038,61.5167525205829,357.62,0,0,1,"1",0,0,0,"0",0,0,0
"67","Present","Saxifraga implicans",352619.86,92.3844034971226,28.6847465692784,4142.88,0,0,1,"1",0,0,0,"1",0,0,0
"68","Present","Saxifraga intricata",82629.41,2.70431815507707,47.8974144016943,1145.08,0,0,1,"1",0,0,0,"0",0,0,0
"69","Present","Saxifraga irrigua",4151.59,37.3416514041514,44.6977258852259,294.51,0,0,1,"1",0,0,0,"0",0,0,0
"70","Present","Saxifraga latepetiolata",73689.48,-1.68138162672476,41.2993373275236,875.26,0,0,1,"1",0,0,0,"0",0,0,0
"71","Present","Saxifraga longifolia",85297.83,2.94777305282005,45.1426253357207,1280.06,0,0,1,"1",0,0,0,"0",0,0,0
"72","Present","Saxifraga losae",99090.23,0.783676683188766,44.0922978624535,376.17,0,0,1,"1",0,0,0,"0",0,0,0
"73","Present","Saxifraga maderensis",269.8,-17.0319444444444,32.7597222222222,1040.67,0,0,1,"1",0,0,0,"0",0,0,0
"74","Present","Saxifraga magellanica",464046.38,-72.7142785668542,-35.5169579959746,1738.79,0,0,1,"1",0,0,0,"0",0,0,0
"75","Present","Saxifraga mertensiana",431460.36,-128.265616890682,50.4256080995202,647.75,0,0,1,"1",0,0,0,"0",0,0,0
"76","Present","Saxifraga moncayensis",63026.96,1.67984053747774,43.5177472883277,971.36,0,0,1,"1",0,0,0,"0",0,0,0
"77","Present","Saxifraga muscoides",20292.82,9.33516297662977,45.1182810578106,2067.93,0,0,1,"1",0,0,0,"0",0,0,0
"78","Present","Saxifraga mutata",142139.87,14.2535864870424,45.4066999177293,819.89,0,0,1,"1",0,0,0,"0",0,0,0
"79","Present","Saxifraga nevadensis",382115.56,-2.75815255252745,40.9364898567687,555.4,0,0,1,"1",0,0,0,"0",0,0,0
"80","Present","Saxifraga nipponica",107016.71,130.894430520225,40.8709817197865,308,0,0,1,"1",0,0,0,"0",0,0,0
"81","Present","Saxifraga oppositifolia",945694.68,-25.7549553779018,61.9051342239868,490.34,0,0,1,"1",0,0,0,"0",0,0,0
"82","Present","Saxifraga osloensis",246409.72,19.3504635777293,56.8957780043631,79.03,0,0,1,"1",0,0,0,"0",0,0,0
"83","Present","Saxifraga paniculata",965561.44,-23.3171300565597,53.8317107551246,603.47,0,0,1,"1",0,0,0,"0",0,0,0
"84","Present","Saxifraga paradoxa",70620.42,14.379571699414,47.1656109962082,661.26,0,0,1,"1",0,0,0,"0",0,0,0
"85","Present","Saxifraga pentadactylis",140879.74,-0.716686753301194,46.0734210158597,1043.46,0,0,1,"1",0,0,0,"0",0,0,0
"86","Present","Saxifraga petraea",211163.37,11.535592320827,46.8920145138216,1109.07,0,0,1,"1",0,0,0,"0",0,0,0
"87","Present","Saxifraga porophylla",179513.68,11.2123774106947,45.7732029366645,1462.14,0,0,1,"1",0,0,0,"0",0,0,0
"88","Present","Saxifraga praetermissa",48374.86,1.43087958727254,47.3125762427569,1235.48,0,0,1,"1",0,0,0,"0",0,0,0
"89","Present","Saxifraga pseudohirculus",1286831.85,89.7981184037504,28.6438541529181,2049.96,0,0,1,"1",0,0,0,"0",0,0,0
"90","Present","Saxifraga pubescens",59877.55,1.54288552933464,47.9000430186824,1381.29,0,0,1,"1",0,0,0,"0",0,0,0
"91","Present","Saxifraga retusa",302174.1,2.60496562306704,49.114122892579,904.15,0,0,1,"1",0,0,0,"0",0,0,0
"92","Present","Saxifraga reuteriana",56427.78,-5.80601486650485,37.6857175364078,550.71,0,0,1,"1",0,0,0,"0",0,0,0
"93","Present","Saxifraga rivularis",406889.66,-7.46162784370238,63.624494776069,669.85,0,0,1,"1",0,0,0,"0",0,0,0
"94","Present","Saxifraga rotundifolia",174952.13,11.8665905079148,45.4523758683521,1390.6,0,0,1,"1",0,0,0,"0",0,0,0
"95","Present","Saxifraga rufescens",337972.15,100.707966524616,27.3939548988823,3097.2,0,0,1,"1",0,0,0,"1",0,0,0
"96","Present","Saxifraga scardica",198764.98,19.0423994809369,42.855174492135,1155.21,0,0,1,"1",0,0,0,"0",0,0,0
"97","Present","Saxifraga scleropoda",94548.75,43.0683708276951,41.6580190009021,2229.29,0,0,1,"1",0,0,0,"0",0,0,0
"98","Present","Saxifraga sedoides",79381.34,12.3021410114433,46.708317952504,1820.99,0,0,1,"1",0,0,0,"0",0,0,0
"99","Present","Saxifraga seguieri",81579.87,12.0359590575166,46.9974130980111,1669.63,0,0,1,"1",0,0,0,"0",0,0,0
"100","Present","Saxifraga sempervivum",111168.23,26.8294522170682,39.022747393885,1109.79,0,0,1,"1",0,0,0,"0",0,0,0
"101","Present","Saxifraga serpyllifolia",3059882.08,-0.241333644136189,61.6117767017819,756.85,0,0,1,"1",0,0,0,"0",0,0,0
"102","Present","Saxifraga sibthorpii",389861.79,28.5054607407097,39.8485809242087,688.97,0,0,1,"1",0,0,0,"0",0,0,0
"103","Present","Saxifraga signata",790128.55,101.113880113383,32.6381458017226,3488.23,0,0,1,"1",0,0,0,"1",0,0,0
"104","Present","Saxifraga sinomontana",147466.79,98.3697515874017,29.6746851478071,4423.15,0,0,1,"1",0,0,0,"1",0,0,0
"105","Present","Saxifraga spathularis",53547.25,-5.65469188692032,48.1900413883241,656.27,0,0,1,"1",0,0,0,"0",0,0,0
"106","Present","Saxifraga squarrosa",287522.72,16.9845453519128,48.6186939552287,762.81,0,0,1,"1",0,0,0,"0",0,0,0
"107","Present","Saxifraga stolonifera",466502.3,126.677572983272,32.117016243622,380.96,0,0,1,"1",0,0,0,"0",0,0,0
"108","Present","Saxifraga strigosa",492890.3,101.379323590951,25.0534768536681,1988.55,0,0,1,"1",0,0,0,"0",0,0,0
"109","Present","Saxifraga styriaca",64345.92,10.568150840527,47.3484874299561,1671.93,0,0,1,"1",0,0,0,"0",0,0,0
"110","Present","Saxifraga svalbardensis",114711.69,24.2714082683173,70.8457307047521,274.25,0,0,1,"1",0,0,0,"0",0,0,0
"111","Present","Saxifraga tangutica",842335.24,98.1328451403004,33.6782354477191,4296.27,0,0,1,"1",0,0,0,"1",0,0,0
"112","Present","Saxifraga taygetea",47046.55,21.9441997377124,40.8874657885734,1287.19,0,0,1,"1",0,0,0,"0",0,0,0
"113","Present","Saxifraga taylorii",54123.57,-129.057360905958,52.1005867388807,438.39,0,0,1,"1",0,0,0,"0",0,0,0
"114","Present","Saxifraga terektensis",2392101.41,79.98537531932,58.4679484246358,821.67,0,0,1,"1",0,0,0,"0",0,0,0
"115","Present","Saxifraga tridactylites",1012982.97,5.54640397374874,49.89554711164,177.4,0,0,1,"1",0,0,0,"0",0,0,0
"116","Present","Saxifraga trifurcata",48462.06,-1.1613456570875,43.2719096437413,963.99,0,0,1,"1",0,0,0,"0",0,0,0
"117","Present","Saxifraga tsangchanensis",282176.31,100.814013447822,25.2108122075326,2226.12,0,0,1,"1",0,0,0,"0",0,0,0
"118","Present","Saxifraga umbrosa",70243.7,2.80801526044971,47.1727153379855,1230.88,0,0,1,"1",0,0,0,"0",0,0,0
"119","Present","Saxifraga valdensis",129671.38,9.55666289165723,46.6706870517176,1642.26,0,0,1,"1",0,0,0,"0",0,0,0
"120","Present","Saxifraga vayredana",136682.92,0.870451267932727,43.9503900250964,563.04,0,0,1,"1",0,0,0,"0",0,0,0
"121","2050","Saxifraga adscendens",1421524.49,-40.6609994536679,66.4203195256737,1598.96,-0.15,457.840100028869,0.7171914556663,"-1",0,0,3.39442580772637,"0",378.438487993221,0.04,0.08
